ticker,year,price,date,series,notes
A5G.IR,2025,5.31004989,,close,
BIRG.IR,2025,8.68971793,,close,
DHG.IR,2025,4.6799117,,close,
GL9.IR,2025,13.35038848,,close,
GRP.IR,2025,0.67444404,,close,
GVR.IR,2025,1.60403449,,close,
IR5B.IR,2025,5.20021743,,close,
KRX.IR,2025,69.9528633,,close,
KRZ.IR,2025,92.5519631,,close,
MLC.IR,2025,8.20019046,,close,
OIZ.IR,2025,2.74007589,,close,
RYA.IR,2025,19.1096111,,close,
BKT.MC,2025,7.60500086,,close,
PTSB.IR,2025,1.4100049,,close,
A5G.IR,2026,9.235353,,close,
BIRG.IR,2026,16.44944708,,close,
DHG.IR,2026,4.6799117,,close,
GL9.IR,2026,14.55969475,,close,
GRP.IR,2026,0.771015133,,close,
GVR.IR,2026,1.942081814,,close,
IR5B.IR,2026,6.643849406,,close,
KRX.IR,2026,74.35019142,,close,
KRZ.IR,2026,77.49771318,,close,
MLC.IR,2026,7.7,,close,
OIZ.IR,2026,4.12013281,,close,
RYA.IR,2026,29.67995169,,close,
BKT.MC,2026,14.22955975,,close,
PTSB.IR,2026,2.809965238,,close,
IRES.IR,2026,0.941970582,,close,
ROG.SW,2026,328.199,,close,
EG7.IR,2026,15.79934828,,close,
